area,bedrooms,city,furnishing,locality_tier,price_lakhs
2421,5,Pune,Semi-Furnished,3,124.5
2619,4,Bangalore,Unfurnished,1,238.53
1685,2,Chennai,Furnished,2,113.34
2476,4,Pune,Semi-Furnished,1,200.92
1198,5,Chennai,Unfurnished,3,64.27
667,1,Pune,Semi-Furnished,3,41.86
715,1,Mumbai,Furnished,1,122.37
1679,4,Delhi,Furnished,2,153.68
2932,5,Mumbai,Semi-Furnished,3,297.87
800,1,Delhi,Unfurnished,3,50.94
1703,4,Delhi,Semi-Furnished,2,147.95
2386,1,Pune,Semi-Furnished,1,180.43
1006,4,Chennai,Semi-Furnished,3,67.72
2434,4,Bangalore,Unfurnished,3,140.79
1291,1,Chennai,Semi-Furnished,2,82.86
2673,4,Chennai,Semi-Furnished,3,133.3
2042,5,Delhi,Furnished,1,239.31
1953,5,Bangalore,Semi-Furnished,2,152.99
936,1,Chennai,Semi-Furnished,1,76.85
1723,2,Mumbai,Semi-Furnished,3,170.75
2805,2,Bangalore,Unfurnished,3,144.53
503,3,Bangalore,Unfurnished,3,34.72
2535,1,Pune,Furnished,2,159.35
1805,5,Bangalore,Furnished,1,166.44
2428,4,Hyderabad,Furnished,1,185.27
2274,5,Mumbai,Semi-Furnished,2,286.15
1638,1,Pune,Unfurnished,3,93.82
1298,1,Bangalore,Furnished,1,110.02
2175,5,Delhi,Semi-Furnished,3,166.19
835,2,Chennai,Unfurnished,1,61.02
2056,4,Pune,Furnished,2,142.03
710,5,Delhi,Furnished,1,100.12
2237,1,Mumbai,Furnished,2,241.74
2179,1,Hyderabad,Unfurnished,2,118.47
682,1,Hyderabad,Furnished,1,63.32
2533,1,Delhi,Semi-Furnished,2,209.35
1593,1,Delhi,Semi-Furnished,3,113.75
2613,5,Chennai,Furnished,3,152.39
564,4,Hyderabad,Semi-Furnished,1,54.12
943,5,Bangalore,Unfurnished,3,66.4
1808,5,Hyderabad,Unfurnished,3,80.05
967,5,Hyderabad,Semi-Furnished,3,64.1
1357,2,Bangalore,Furnished,2,107.54
2266,2,Pune,Furnished,3,117.19
847,5,Hyderabad,Semi-Furnished,2,66.04
2313,2,Delhi,Furnished,1,244.22
734,1,Mumbai,Furnished,1,118.71
931,4,Bangalore,Semi-Furnished,3,71.14
2066,5,Pune,Semi-Furnished,1,162.28
2632,5,Chennai,Furnished,2,184.82
919,5,Bangalore,Semi-Furnished,3,65.5
1274,1,Hyderabad,Unfurnished,1,82.88
2994,4,Hyderabad,Furnished,2,199.3
3171,5,Delhi,Semi-Furnished,1,369.97
2047,4,Hyderabad,Semi-Furnished,2,125.17
1679,5,Pune,Furnished,1,143.82
1403,5,Mumbai,Furnished,3,156.07
2134,3,Chennai,,1,160.58
2075,1,Hyderabad,Semi-Furnished,3,94.03
1260,3,Delhi,Unfurnished,3,92.65
512,2,Chennai,Semi-Furnished,3,33.87
866,1,Mumbai,Semi-Furnished,3,89.47
3086,1,Bangalore,Semi-Furnished,1,246.47
1599,4,Delhi,Furnished,3,123.93
1776,3,Bangalore,Semi-Furnished,2,142.69
1734,3,Mumbai,Semi-Furnished,3,166.11
2602,4,Mumbai,Semi-Furnished,3,264.75
628,3,Bangalore,Unfurnished,2,50.59
677,4,Mumbai,Unfurnished,2,95.88
1208,1,Hyderabad,Furnished,1,88.9
1788,5,Hyderabad,Unfurnished,1,145.57
2295,3,Bangalore,Unfurnished,2,171.62
1799,1,Hyderabad,Furnished,3,80.46
1663,5,Mumbai,Unfurnished,2,225.8
3029,4,Delhi,Semi-Furnished,2,254.0
892,1,Hyderabad,Furnished,1,68.04
2022,1,Hyderabad,,2,114.76
1941,1,Hyderabad,Unfurnished,2,101.35
1752,2,Pune,Unfurnished,3,95.98
2670,1,Bangalore,Furnished,3,150.42
1184,4,Mumbai,Unfurnished,2,150.28
3072,3,Hyderabad,Furnished,3,141.49
1361,5,Bangalore,Unfurnished,2,106.31
1948,4,Mumbai,Unfurnished,3,214.26
1881,4,Mumbai,Furnished,2,258.1
2786,3,Pune,Furnished,1,251.89
1657,1,Chennai,Furnished,2,119.62
1232,1,Mumbai,Furnished,1,185.1
509,4,Delhi,Unfurnished,1,66.45
1450,1,Pune,Furnished,3,76.31
2722,1,Bangalore,Furnished,3,153.08
477,2,Bangalore,Unfurnished,1,45.75
2914,5,Bangalore,Unfurnished,3,164.86
1942,3,Pune,Furnished,1,154.73
835,4,Bangalore,Unfurnished,1,84.24
1280,3,Delhi,Furnished,3,95.91
1973,1,Mumbai,,1,314.58
1318,2,Delhi,Unfurnished,3,88.31
748,1,Chennai,Unfurnished,3,43.25
2281,4,Mumbai,,1,346.5
2298,1,Bangalore,Furnished,1,208.73
776,2,Chennai,Furnished,3,46.82
1223,5,Bangalore,Furnished,2,120.89
1120,3,Bangalore,Furnished,2,102.09
2263,3,Delhi,Unfurnished,2,199.56
2458,3,Mumbai,Furnished,2,289.05
2449,4,Hyderabad,,3,121.39
3031,2,Mumbai,Semi-Furnished,2,349.51
2563,4,Mumbai,Furnished,1,443.2
1331,5,Delhi,Furnished,2,142.23
746,3,Chennai,Furnished,3,53.22
2140,3,Bangalore,Semi-Furnished,1,167.69
2969,1,Hyderabad,Semi-Furnished,2,152.34
3131,2,Pune,Furnished,3,173.15
1083,5,Hyderabad,Unfurnished,2,79.19
1100,3,Bangalore,Unfurnished,1,110.92
552,2,Hyderabad,Semi-Furnished,1,42.4
838,3,Hyderabad,Unfurnished,2,55.05
1975,3,Delhi,Unfurnished,2,182.96
1953,3,Hyderabad,Furnished,3,90.72
1470,4,Hyderabad,Furnished,2,99.39
1302,2,Delhi,Semi-Furnished,3,98.0
2731,4,Bangalore,Semi-Furnished,1,245.62
1715,3,Chennai,Semi-Furnished,2,98.26
2672,5,Hyderabad,Furnished,1,196.27
3098,1,Hyderabad,Semi-Furnished,2,165.29
1322,1,Hyderabad,Unfurnished,1,88.64
1007,3,Chennai,Semi-Furnished,2,68.5
3070,3,Pune,Semi-Furnished,2,193.42
2195,4,Mumbai,Furnished,1,351.41
1250,3,Bangalore,Furnished,1,129.09
2160,5,Hyderabad,Furnished,2,136.28
1866,3,Pune,Semi-Furnished,3,101.51
2940,1,Bangalore,Semi-Furnished,1,258.83
1153,1,Pune,Semi-Furnished,2,67.84
3176,5,Chennai,Unfurnished,1,246.68
3024,1,Delhi,Furnished,3,210.87
946,5,Mumbai,Furnished,2,140.35
902,2,Hyderabad,Furnished,3,56.61
1916,1,Bangalore,Unfurnished,1,146.87
573,2,Delhi,Unfurnished,1,57.95
1271,4,Pune,Furnished,2,100.89
1646,3,Pune,Semi-Furnished,2,113.21
3115,4,Mumbai,Furnished,3,325.33
3179,4,Hyderabad,Semi-Furnished,3,146.08
866,3,Delhi,Semi-Furnished,3,74.15
2902,4,Chennai,Semi-Furnished,2,190.61
700,5,Delhi,Furnished,2,86.34
2508,3,Delhi,Semi-Furnished,2,216.71
2775,1,Bangalore,Furnished,1,216.97
2899,3,Bangalore,Unfurnished,2,217.22
1064,5,Bangalore,Semi-Furnished,2,100.73
2906,2,Delhi,Furnished,1,326.0
768,5,Pune,Furnished,1,79.66
1876,3,Mumbai,Furnished,2,254.51
1741,4,Delhi,Unfurnished,2,164.86
1318,2,Pune,,3,86.68
510,5,Delhi,Furnished,2,64.73
2573,1,Delhi,Furnished,3,178.83
1372,2,Hyderabad,Unfurnished,2,81.86
2269,3,Mumbai,Furnished,1,361.09
1578,3,Chennai,Furnished,1,121.25
1477,3,Chennai,Furnished,3,87.8
2887,1,Hyderabad,Unfurnished,2,158.96
709,2,Bangalore,Furnished,1,76.67
2475,1,Pune,Unfurnished,2,154.0
2503,3,Chennai,Semi-Furnished,3,124.67
1494,2,Hyderabad,Semi-Furnished,2,96.55
1171,3,Pune,Semi-Furnished,1,96.8
464,3,Bangalore,Furnished,1,56.86
3026,4,Bangalore,Unfurnished,3,178.73
3056,3,Pune,Semi-Furnished,3,169.69
1112,4,Mumbai,Semi-Furnished,3,113.54
537,3,Pune,Semi-Furnished,3,37.11
787,4,Bangalore,Unfurnished,1,71.0
636,4,Chennai,Unfurnished,1,58.63
2735,2,Hyderabad,Unfurnished,1,172.38
2902,2,Delhi,Semi-Furnished,1,301.34
871,4,Hyderabad,Semi-Furnished,3,56.39
2503,2,Chennai,Semi-Furnished,3,118.39
942,3,Mumbai,Semi-Furnished,1,157.96
1459,1,Mumbai,Unfurnished,3,140.99
2098,3,Hyderabad,Unfurnished,2,124.42
2429,3,Chennai,Semi-Furnished,1,189.79
2855,4,Hyderabad,Furnished,3,135.88
573,3,Pune,Unfurnished,3,37.62
990,2,Chennai,Furnished,2,75.91
1221,5,Delhi,Semi-Furnished,3,104.0
1303,3,Chennai,Unfurnished,2,76.47
3194,5,Bangalore,Semi-Furnished,3,202.93
2587,4,Chennai,,2,148.53
1331,3,Chennai,Unfurnished,3,76.07
3122,5,Bangalore,Semi-Furnished,1,304.5
1823,1,Hyderabad,Semi-Furnished,1,128.19
1827,5,Delhi,Furnished,3,147.73
1642,5,Hyderabad,Unfurnished,1,122.67
845,3,Pune,Furnished,1,86.25
3019,4,Bangalore,Unfurnished,3,174.27
488,3,Hyderabad,Unfurnished,1,42.82
929,2,Chennai,Furnished,2,71.58
1081,4,Hyderabad,Furnished,1,90.12
1218,2,Chennai,Semi-Furnished,1,92.7
812,2,Chennai,Unfurnished,3,40.27
499,3,Hyderabad,Unfurnished,1,40.19
2313,5,Bangalore,Semi-Furnished,1,194.18
3115,2,Chennai,Semi-Furnished,3,157.14
785,3,Pune,Furnished,3,63.39
1265,1,Hyderabad,Unfurnished,1,93.06
1842,1,Delhi,Unfurnished,3,112.2
3000,1,Bangalore,Furnished,2,225.92
2359,1,Hyderabad,Unfurnished,3,110.31
2557,5,Delhi,Unfurnished,1,271.93
2048,5,Hyderabad,Semi-Furnished,3,107.35
1596,5,Pune,Semi-Furnished,2,103.13
999,1,Delhi,Semi-Furnished,3,74.2
2826,1,Pune,Furnished,2,170.44
2661,2,Pune,Furnished,3,145.45
519,3,Mumbai,Unfurnished,2,65.96
2417,2,Hyderabad,Furnished,1,178.74
682,3,Pune,Semi-Furnished,3,50.14
2482,1,Delhi,Unfurnished,3,158.5
2721,4,Hyderabad,Furnished,1,186.23
810,2,Delhi,Unfurnished,2,63.92
1643,1,Mumbai,Semi-Furnished,2,201.39
790,4,Pune,Furnished,2,67.94
2010,5,Hyderabad,Unfurnished,3,91.71
3000,1,Pune,Unfurnished,3,151.51
672,3,Bangalore,Semi-Furnished,1,69.69
1543,5,Bangalore,Furnished,3,103.31
3126,4,Chennai,Unfurnished,2,182.77
1277,5,Hyderabad,Semi-Furnished,3,79.42
813,3,Mumbai,Semi-Furnished,3,95.9
1793,2,Pune,Unfurnished,2,113.69
1848,4,Hyderabad,Furnished,2,123.52
2272,1,Bangalore,Furnished,2,155.36
1312,2,Mumbai,Semi-Furnished,3,137.22
3077,4,Pune,Unfurnished,2,200.38
1882,4,Delhi,Unfurnished,1,201.07
1237,1,Delhi,Semi-Furnished,2,111.78
3090,3,Bangalore,Semi-Furnished,1,264.17
2993,2,Hyderabad,Semi-Furnished,2,171.73
1822,3,Hyderabad,Unfurnished,1,133.2
518,5,Pune,Semi-Furnished,1,49.79
2091,1,Hyderabad,Unfurnished,3,96.95
1976,5,Bangalore,Furnished,1,158.9
857,3,Delhi,Furnished,2,86.46
2193,4,Delhi,Semi-Furnished,3,171.82
2762,3,Delhi,Unfurnished,3,188.04
741,2,Bangalore,Furnished,2,60.55
2439,4,Pune,Unfurnished,1,184.0
835,4,Pune,Furnished,3,66.97
2509,1,Bangalore,Unfurnished,3,123.85
1602,4,Pune,Semi-Furnished,2,121.85
467,4,Pune,Unfurnished,1,48.86
3107,2,Mumbai,Unfurnished,1,439.21
906,5,Chennai,,1,86.77
2089,4,Chennai,Furnished,1,158.9
949,2,Pune,Unfurnished,3,55.28
3015,1,Chennai,Furnished,1,233.37
2480,4,Chennai,Unfurnished,1,168.25
2661,2,Pune,Unfurnished,3,131.47
1638,4,Bangalore,Unfurnished,3,97.77
1735,3,Chennai,Semi-Furnished,1,146.5
2194,3,Chennai,Unfurnished,2,122.56
2608,1,Delhi,Semi-Furnished,2,242.66
2779,4,Hyderabad,Unfurnished,2,158.19
499,1,Mumbai,Unfurnished,3,47.82
2274,3,Delhi,Semi-Furnished,3,157.02
750,5,Pune,Furnished,3,59.49
1241,5,Delhi,Furnished,1,141.95
2730,5,Hyderabad,Semi-Furnished,1,200.08
1138,5,Hyderabad,Unfurnished,2,71.03
2641,3,Chennai,Furnished,1,177.63
1723,2,Mumbai,Furnished,2,217.69
1089,5,Pune,Furnished,1,96.47
1369,5,Mumbai,Furnished,3,150.8
1909,5,Mumbai,Furnished,1,295.79
2554,4,Delhi,Furnished,1,269.9
2116,1,Hyderabad,Semi-Furnished,1,162.45
3016,3,Chennai,,1,226.38
2836,3,Delhi,Unfurnished,2,246.63
2521,5,Pune,Unfurnished,2,150.77
2108,2,Mumbai,Furnished,3,209.8
1247,2,Hyderabad,Furnished,1,98.31
1584,1,Chennai,Furnished,2,94.98
776,5,Mumbai,Unfurnished,2,116.65
1479,4,Hyderabad,Semi-Furnished,2,88.06
2997,1,Mumbai,Unfurnished,3,286.21
1621,3,Delhi,Furnished,1,179.12
762,3,Bangalore,Unfurnished,2,62.93
2242,3,Bangalore,Unfurnished,3,127.37
3097,5,Chennai,Semi-Furnished,3,157.64
2835,1,Bangalore,Furnished,2,202.37
1203,2,Delhi,Furnished,2,109.59
1698,1,Delhi,Unfurnished,3,118.23
1910,2,Delhi,Unfurnished,2,165.96
1131,5,Delhi,Unfurnished,3,91.21
1188,5,Bangalore,Unfurnished,1,115.42
1100,1,Bangalore,Semi-Furnished,2,86.23
3185,4,Mumbai,Unfurnished,1,484.79
2501,2,Mumbai,Unfurnished,1,375.12
2762,1,Delhi,Semi-Furnished,2,235.45
2695,2,Chennai,Unfurnished,1,215.57
3087,1,Pune,Unfurnished,2,173.54
739,3,Delhi,Unfurnished,2,74.38
2874,5,Pune,Unfurnished,2,168.36
633,3,Mumbai,Semi-Furnished,3,76.25
1757,4,Mumbai,Furnished,3,209.79
2084,3,Pune,Furnished,2,148.78
1434,1,Hyderabad,Unfurnished,1,97.7
851,1,Chennai,Unfurnished,3,40.23
978,2,Pune,Semi-Furnished,1,84.51
2717,2,Chennai,Semi-Furnished,2,160.68
1326,5,Pune,Furnished,2,101.06
1303,5,Chennai,Furnished,1,115.66
2989,5,Delhi,Semi-Furnished,2,269.77
845,4,Pune,Unfurnished,1,73.81
2966,3,Mumbai,Unfurnished,1,433.37
2982,4,Hyderabad,Unfurnished,2,155.27
2096,3,Chennai,Unfurnished,1,160.91
905,4,Delhi,Furnished,3,85.06
878,4,Chennai,Unfurnished,1,76.51
1232,4,Delhi,Furnished,2,131.21
2037,4,Delhi,Semi-Furnished,3,152.43
872,1,Chennai,Semi-Furnished,1,70.15
1703,4,Pune,Semi-Furnished,3,101.56
767,2,Hyderabad,Furnished,3,47.64
1935,4,Hyderabad,Unfurnished,3,91.49
508,3,Bangalore,Unfurnished,1,60.81
2399,5,Mumbai,Semi-Furnished,3,244.98
602,2,Chennai,Semi-Furnished,3,36.45
985,5,Mumbai,Semi-Furnished,3,119.08
930,5,Hyderabad,Furnished,1,88.26
2735,2,Bangalore,Semi-Furnished,3,146.32
596,3,Delhi,Unfurnished,1,76.41
1630,3,Delhi,Unfurnished,2,143.35
2075,4,Mumbai,Furnished,2,253.87
1868,4,Chennai,Unfurnished,2,127.07
2321,5,Chennai,Semi-Furnished,2,157.16
2658,2,Delhi,Semi-Furnished,1,261.94
1532,3,Delhi,Furnished,2,160.6
2727,3,Pune,Furnished,3,156.34
1324,5,Mumbai,Semi-Furnished,2,180.27
3157,2,Pune,Unfurnished,1,267.03
1837,3,Bangalore,Semi-Furnished,3,115.53
2474,1,Mumbai,Semi-Furnished,1,377.96
2856,5,Pune,Unfurnished,2,181.38
2629,2,Pune,Semi-Furnished,2,174.63
2790,2,Pune,Unfurnished,2,179.39
1925,3,Mumbai,Semi-Furnished,3,199.48
569,3,Mumbai,Furnished,2,83.62
1805,5,Hyderabad,Furnished,3,102.38
949,3,Pune,Unfurnished,1,81.33
2895,3,Pune,Furnished,3,145.78
1101,1,Delhi,Unfurnished,2,85.5
1077,1,Pune,Semi-Furnished,1,91.27
1135,2,Mumbai,Unfurnished,1,149.58
2217,5,Hyderabad,Unfurnished,3,111.08
2020,5,Bangalore,Unfurnished,2,150.42
3059,4,Mumbai,Unfurnished,2,410.99
1594,4,Mumbai,Furnished,1,254.34
1226,2,Mumbai,Unfurnished,2,160.22
585,1,Mumbai,Semi-Furnished,3,62.14
469,1,Chennai,Furnished,1,45.64
1477,2,Hyderabad,Furnished,2,96.91
2995,2,Bangalore,Furnished,2,213.56
1890,1,Hyderabad,Unfurnished,3,87.03
2907,2,Bangalore,Furnished,1,247.41
729,1,Chennai,Semi-Furnished,2,49.18
706,4,Hyderabad,Unfurnished,3,45.77
2742,5,Mumbai,Semi-Furnished,1,449.94
743,4,Hyderabad,,3,60.11
592,3,Delhi,Semi-Furnished,3,50.89
1561,3,Chennai,Unfurnished,3,73.78
2993,2,Bangalore,Furnished,2,206.43
2345,1,Bangalore,Furnished,3,145.62
722,3,Hyderabad,Furnished,3,51.02
2752,3,Mumbai,Furnished,3,285.43
2769,1,Chennai,Furnished,2,156.27
2651,3,Pune,Semi-Furnished,2,181.55
2932,2,Delhi,Unfurnished,2,229.24
1109,1,Mumbai,Semi-Furnished,1,185.94
3143,4,Bangalore,Unfurnished,3,216.69
1331,3,Mumbai,Semi-Furnished,3,145.4
2655,4,Bangalore,Semi-Furnished,2,205.49
2043,4,Delhi,Furnished,1,225.53
2593,5,Bangalore,Unfurnished,2,172.77
2176,5,Mumbai,Unfurnished,2,268.54
2216,4,Pune,Furnished,2,145.73
2867,5,Mumbai,Furnished,2,374.37
1670,3,Chennai,Semi-Furnished,2,107.19
